,asset,latitude,longitude,time,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,STATUS
197502,185,39.175606,-84.547481,1/30/2018 11:47,0.0,NW,7,0.0,27934.3,1/30/2018 11:47,31
197524,185,39.174544,-84.548183,1/30/2018 11:41,4.2,SSE,12,0.1,27934.2,1/30/2018 11:41,8223
197526,185,39.17188,-84.546983,1/30/2018 11:54,24.2,SSE,12,0.2,27930.6,1/30/2018 11:54,8223
197541,185,39.175456,-84.549139,1/30/2018 11:41,19.0,SE,7,0.0,27934.1,1/30/2018 11:41,31
197551,185,39.173913,-84.547737,1/30/2018 11:54,21.1,SSE,12,0.1,27930.5,1/30/2018 11:54,8223
197562,185,39.175606,-84.547481,1/30/2018 11:46,0.0,NW,7,0.0,27934.3,1/30/2018 11:46,31
197563,185,39.175606,-84.547481,1/30/2018 11:46,0.0,NW,7,0.0,27934.3,1/30/2018 11:47,31
197582,185,39.175606,-84.547481,1/30/2018 11:43,0.0,NW,12,0.2,27934.3,1/30/2018 11:43,8223
197585,185,39.176909,-84.549735,1/30/2018 11:48,8.6,NW,7,0.2,27934.4,1/30/2018 11:48,31
197586,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,7,0.0,27930.4,1/30/2018 11:52,31
197595,185,39.1744,-84.548059,1/30/2018 11:41,0.0,SSE,"7,9",0.1,27934.2,1/30/2018 11:41,1055
197612,185,39.175539,-84.54744000000001,1/30/2018 11:49,0.0,SE,7,0.3,27934.6,1/30/2018 11:49,31
197636,185,39.175606,-84.547481,1/30/2018 11:45,0.0,NW,7,0.2,27934.3,1/30/2018 11:45,31
197639,185,39.1744,-84.548059,1/30/2018 11:42,0.0,SSE,12,0.1,27934.2,1/30/2018 11:42,8223
197653,185,39.1744,-84.548059,1/30/2018 11:41,0.0,SSE,7,0.1,27934.2,1/30/2018 11:41,31
197658,185,39.17689,-84.549886,1/30/2018 11:48,6.9,SE,7,0.2,27934.5,1/30/2018 11:48,31
197689,185,39.176178,-84.548539,1/30/2018 11:48,15.1,NW,12,0.1,27934.4,1/30/2018 11:48,8223
197727,185,39.17491,-84.547493,1/30/2018 11:49,15.4,SSW,"7,10",-3.9,27930.4,1/30/2018 11:49,1055
197729,185,39.174264,-84.547735,1/30/2018 11:54,11.9,SW,7,0.0,27930.4,1/30/2018 11:54,31
